代码,名称,行业板块,收盘价,涨幅(%),成交量倍数,换手率(%),市值(亿),PE(TTM),上市天数
603117.SH,万林物流,仓储物流,5.34,10.1031,1.0,3.249,31.99715942,458.1838,3879
600172.SH,黄河旋风,矿物制品,7.21,10.0763,1.0,17.9855,103.98150072,,9938
002678.SZ,珠江钢琴,文教休闲,5.79,10.076,1.0,1.7688,78.6467467,,5004
002358.SZ,森源电气,电气设备,7.54,10.073,1.0,10.2264,70.10367606999999,68.8468,5844
002491.SZ,通鼎互联,通信设备,8.64,10.0637,1.0,18.2128,106.2715248,2838.963,5591
600232.SH,金鹰股份,纺织机械,9.32,10.0354,1.0,4.2979,33.991768300000004,,9384
600550.SH,保变电气,电气设备,15.57,10.0353,1.0,6.4792,286.72598434,181.635,9113
600828.SH,茂业商业,百货,7.24,10.0304,1.0,8.2572,125.39553633000001,,11674
000533.SZ,顺钠股份,电气设备,9.22,10.0239,1.0,2.6533,63.6932352,61.6721,11726
002830.SZ,名雕股份,装修装饰,25.58,10.0215,1.0,22.3199,34.108371999999996,84.2468,3346
002112.SZ,三变科技,电气设备,21.63,10.0203,1.0,8.4906,63.620596299999995,77.1746,6942
001326.SZ,联域股份,电气设备,55.95,10.0079,1.0,6.5994,40.9554,152.7719,824
001368.SZ,通达创智,文教休闲,33.0,10.0,1.0,9.7334,37.56619152,37.7214,1065
002339.SZ,积成电子,电气设备,11.99,10.0,1.0,5.6616,60.440663650000005,130.2485,5863
002575.SZ,群兴玩具,文教休闲,7.92,10.0,1.0,18.6193,48.8268,,5408
002291.SZ,遥望科技,广告包装,8.14,10.0,1.0,25.4778,76.11961073,,6004
601616.SH,广电电气,电气设备,5.39,10.0,1.0,13.6529,46.013099690000004,240.6705,5488
603103.SH,横店影视,影视音像,28.05,10.0,1.0,0.4212,177.8931,192.864,3043
600785.SH,新华百货,百货,23.32,10.0,1.0,6.7485,52.6172145,39.4103,10625
605151.SH,西上海,汽车配件,25.19,10.0,1.0,11.3714,33.89420852,,1883
603629.SH,利通电子,元器件,41.14,10.0,1.0,23.4246,107.943132,57.4583,2605
603919.SH,金徽酒,白酒,23.98,10.0,1.0,7.7788,121.64094728,32.1054,3624
605255.SH,天普股份,汽车配件,133.91,9.9967,1.0,2.3605,179.546528,551.919,1995
603697.SH,有友食品,食品,13.54,9.9919,1.0,4.7621,57.909510069999996,27.5926,2470
603172.SH,万丰股份,染料涂料,28.3,9.9883,1.0,10.5246,37.74654,67.4397,1007
