代码,名称,行业板块,收盘价,涨幅(%),成交量倍数,换手率(%),市值(亿),PE(TTM),上市天数
001368.SZ,通达创智,文教休闲,33.0,10.0,1.0,9.7334,37.56619152,37.7214,1065.0
600785.SH,新华百货,百货,23.32,10.0,1.0,6.7485,52.6172145,39.4103,10625.0
603919.SH,金徽酒,白酒,23.98,10.0,1.0,7.7788,121.64094728,32.1054,3624.0
603697.SH,有友食品,食品,13.54,9.9919,1.0,4.7621,57.909510069999996,27.5926,2470.0
002606.SZ,大连电瓷,电气设备,11.8,9.972,1.0,12.0487,51.81063996,30.3067,5303.0
002498.SZ,汉缆股份,电气设备,5.64,9.9415,1.0,5.2442,187.6312944,34.2877,5572.0
600779.SH,水井坊,白酒,44.78,7.4376,1.0,5.634,218.30393206000002,40.2758,10658.0
000700.SZ,模塑科技,汽车配件,14.33,6.9403,1.0,13.4226,131.55160524,28.4557,10574.0
002533.SZ,金杯电工,电气设备,13.93,5.3707,1.0,7.6388,102.23798994,16.8724,5520.0
000821.SZ,ST京机,电气设备,13.56,5.0349,1.0,8.0944,84.46181990000001,30.1017,10091.0
002546.SZ,新联电子,电气设备,9.03,4.878,1.0,14.1024,75.31463337,10.7741,5478.0
002557.SZ,洽洽食品,食品,23.96,4.7203,1.0,4.9656,121.20290281,30.977,5459.0
002592.SZ,ST八菱,汽车配件,10.98,4.4719,1.0,4.5615,31.109761040000002,27.7091,5205.0
603158.SH,腾龙股份,汽车配件,10.82,4.4402,1.0,8.782,53.10133001,33.9925,3980.0
002772.SZ,众兴菌业,种植业,17.1,4.2048,1.0,8.4331,67.24427238999999,27.59,3882.0
600686.SH,金龙汽车,汽车整车,17.22,3.9855,1.0,5.4384,123.47556521000001,37.5714,11782.0
000767.SZ,晋控电力,火力发电,3.14,3.9735,1.0,7.5992,96.61598568,14.7827,10473.0
601096.SH,宏盛华源,钢加工,5.52,3.9548,1.0,9.3242,147.66856085999999,44.1309,781.0
002870.SZ,香山股份,汽车配件,40.26,3.7629,1.0,6.1847,53.17365105,44.1041,3193.0
605066.SH,天正电气,电气设备,8.41,3.5714,1.0,8.25,42.449485509999995,34.5937,2013.0
600054.SH,黄山旅游,旅游景点,13.17,3.2941,1.0,7.2564,96.05927225,33.8711,10507.0
003011.SZ,海象新材,家居用品,24.16,2.8961,1.0,11.2454,24.8065216,17.8653,1959.0
600763.SH,通策医疗,医疗保健,47.2,2.6087,1.0,5.4383,211.12046321999998,40.8628,10695.0
001328.SZ,登康口腔,日用化工,40.88,2.5847,1.0,7.3269,70.38464943999999,39.2942,1037.0
603097.SH,江苏华辰,电气设备,35.05,2.4255,1.0,5.2769,57.88618994,57.1715,1370.0
002674.SZ,兴业科技,纺织,14.31,2.3605,1.0,3.6032,42.29334009,59.0931,5027.0
002826.SZ,易明医药,化学制药,19.2,2.3454,1.0,3.7671,36.610128,42.633,3350.0
600268.SH,国电南自,电气设备,13.07,2.2692,1.0,5.8811,132.77431067999999,29.745,9581.0
001268.SZ,联合精密,机械基件,37.41,1.8791,1.0,8.5656,40.37786025,49.9816,1321.0
603759.SH,海天股份,水务,12.53,1.8699,1.0,4.2597,57.858528,21.9005,1782.0
600312.SH,平高电气,电气设备,21.55,1.7469,1.0,4.1256,292.41654209,25.4609,9120.0
002452.SZ,长高电新,电气设备,10.2,1.6949,1.0,7.1256,63.27387267,23.1122,5684.0
001260.SZ,坤泰股份,汽车配件,22.27,1.6895,1.0,15.2517,25.6105,57.4502,1090.0
002441.SZ,众业达,电气设备,9.93,1.6377,1.0,3.78,54.07318037,25.7033,5698.0
601599.SH,浙文影业,纺织,4.58,1.5521,1.0,13.1732,53.15284435,44.1213,5373.0
002150.SZ,正泰电源,机械基件,24.46,1.5359,1.0,7.4227,88.26850921,35.8161,6759.0
600559.SH,老白干酒,白酒,16.37,1.4879,1.0,4.6294,149.74415658,23.726,8505.0
000685.SZ,中山公用,水务,12.53,1.4575,1.0,3.841,184.83145227999998,13.3139,10610.0
001333.SZ,光华股份,化工原料,26.9,1.4329,1.0,7.6181,34.432,26.5928,1160.0
600197.SH,伊力特,白酒,14.14,1.362,1.0,3.1104,66.90690498000001,36.76,9644.0
001218.SZ,丽臣实业,化工原料,26.04,1.323,1.0,6.9042,33.8984189,25.351,1579.0
001324.SZ,长青科技,运输设备,19.1,1.2725,1.0,6.1265,26.358,54.7515,995.0
002033.SZ,丽江股份,旅游景点,9.86,1.232,1.0,6.0813,54.1797841,25.736,7839.0
600979.SH,广安爱众,水力发电,4.56,1.1086,1.0,3.0576,57.53155893,39.1802,7827.0
603058.SH,永吉股份,广告包装,11.07,1.0959,1.0,3.3195,45.903168310000005,35.1443,3336.0
002860.SZ,星帅尔,家用电器,13.89,1.0917,1.0,5.3977,49.96406847,28.4815,3226.0
600059.SH,古越龙山,红黄酒,10.31,1.0784,1.0,5.5843,93.98002278,45.6673,10497.0
