代码,名称,收盘价,涨幅(%),成交量倍数,换手率(%),市值(亿),PE(TTM)
002296.SZ,辉煌科技,14.15,10.03,1.63,9.65,55.13,18.21
002015.SZ,协鑫能科,13.27,10.03,2.09,9.82,215.42,33.39
603916.SH,苏博特,13.59,8.29,1.54,14,57.93,52.01
001230.SZ,劲旅环境,26.61,7.73,2.37,13.82,35.72,23.6
601778.SH,晶科科技,4.64,6.42,1.58,12.87,165.69,36
605098.SH,行动教育,49.32,6.29,2.49,3.15,58.81,20.37
002416.SZ,爱施德,13.55,5.86,2.06,3.72,167.92,42.66
605319.SH,无锡振华,25.49,5.81,1.69,3.82,89.24,20.01
603328.SH,依顿电子,11.62,5.44,1.69,3.25,116.02,24.8
600261.SH,阳光照明,3.86,5.18,2.27,3.85,51.53,28.64
603004.SH,鼎龙科技,24.93,4.62,2.04,12.24,58.72,33.01
605028.SH,世茂能源,27.91,4.61,2.3,3.26,44.66,27.16
600444.SH,国机通用,19.27,4.56,2.17,5.52,28.22,48.22
001335.SZ,信凯科技,56.7,4.3,1.61,17.78,53.15,51.67
605088.SH,冠盛股份,41.32,4.19,1.55,5.97,83.77,27.72
002150.SZ,正泰电源,26.77,4.04,1.58,10.26,96.6,39.2
605277.SH,新亚电子,25.15,4.01,1.58,5.04,81.48,38.73
001896.SZ,豫能控股,6.77,3.99,1.73,5.5,103.3,40.4
002052.SZ,同洲电子,11.78,3.97,1.58,3.74,88.64,28.07
002612.SZ,朗姿股份,19.77,3.83,1.54,7.47,87.47,8.44
002322.SZ,理工能科,13.72,3.55,1.52,3.23,50.15,21.94
000779.SZ,甘咨询,9.19,3.37,2.36,3.63,42.72,20.58
600987.SH,航民股份,8.52,2.77,2.12,8.11,86.97,11.96
603739.SH,蔚蓝生物,15.94,1.98,1.7,4.76,40.33,48.26
003015.SZ,日久光电,16.66,1.59,1.61,4.98,46.83,53.18
603969.SH,银龙股份,9.96,-0.2,1.89,3.44,85.39,25.04
603823.SH,百合花,18.39,-0.49,1.66,3.84,76.57,45.67
603236.SH,移远通信,85.71,-0.55,1.53,3.69,246.69,25.56
600814.SH,杭州解百,10.71,-0.65,2.29,18.41,78.73,40.09
003003.SZ,天元股份,14.31,-0.9,1.53,16.63,25.29,40.1
603607.SH,京华激光,25.19,-1.1,1.98,8.62,44.97,41.64
600063.SH,皖维高新,7.21,-1.23,1.97,7.12,149.18,27.15
002991.SZ,甘源食品,60.05,-2.2,1.57,3.05,55.98,21.94
003041.SZ,真爱美家,61.9,-2.29,1.51,8.95,89.14,35.66
000767.SZ,晋控电力,3.33,-2.63,1.6,12.87,102.46,15.68
001268.SZ,联合精密,33.7,-2.66,1.54,6.82,36.37,45.02
603725.SH,天安新材,10.27,-3.2,1.58,4.14,31.31,26.48
603755.SH,日辰股份,35.78,-7.81,2.35,9.34,35.28,47.85
